Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,551275,-,-,-,45.36,-122.61,0,44,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Cloud Type,Dew Point,GHI,Solar Zenith Angle,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction
2022,1,1,0,0,-3.4000000000000004,62,0,-4.800000000000001,62,85.34,89.94,0.5,0.6000000000000001,71
2022,1,1,1,0,-5.9,0,0,-7.5,0,94.23,88.77,0.5,0.6000000000000001,73
2022,1,1,2,0,-7.300000000000001,0,0,-9.1,0,103.85000000000001,86.97,0.5,0.7000000000000001,77
2022,1,1,3,0,-7.9,0,0,-9.9,0,114.06,85.87,0.5,0.7000000000000001,78
2022,1,1,4,0,-7.9,0,0,-10.100000000000001,0,124.55,84.48,0.5,0.8,78
2022,1,1,5,0,-8.3,0,0,-10.5,0,134.99,84.10000000000001,0.5,0.8,80
2022,1,1,6,0,-8.6,0,0,-10.8,0,144.85,84.14,0.6000000000000001,0.8,83
2022,1,1,7,0,-8.700000000000001,0,0,-10.9,0,153.06,83.92,0.6000000000000001,0.7000000000000001,87
2022,1,1,8,0,-8.700000000000001,0,0,-11.100000000000001,0,157.46,83.10000000000001,0.7000000000000001,0.7000000000000001,94
2022,1,1,9,0,-8.8,0,0,-11.100000000000001,0,155.74,83.13,0.7000000000000001,0.7000000000000001,100
2022,1,1,10,0,-9,0,4,-11.200000000000001,0,148.95000000000002,84.12,0.8,0.8,103
2022,1,1,11,0,-9,0,4,-11.200000000000001,0,139.66,84.09,0.9,0.8,107
2022,1,1,12,0,-9,0,1,-11.100000000000001,0,129.4,84.51,1,0.8,110
2022,1,1,13,0,-8.700000000000001,0,1,-10.8,0,118.88,84.58,1,0.8,113
2022,1,1,14,0,-8.200000000000001,0,1,-10.3,0,108.5,84.52,1,0.8,118
2022,1,1,15,0,-7.800000000000001,0,7,-9.9,0,98.56,84.88,0.9,0.8,123
2022,1,1,16,0,-6.6000000000000005,14,8,-8.700000000000001,3,88.95,84.78,0.9,0.7000000000000001,133
2022,1,1,17,0,-4.1000000000000005,127,8,-6.1000000000000005,21,81.21000000000001,86.28,0.9,0.7000000000000001,142
2022,1,1,18,0,-1.9000000000000001,247,1,-3.7,247,74.76,87.5,0.9,0.8,158
2022,1,1,19,0,-0.30000000000000004,332,4,-2,20,70.32000000000001,88.55,0.9,0.8,171
2022,1,1,20,0,0.7000000000000001,368,4,-0.8,108,68.35000000000001,89.55,1,0.7000000000000001,178
2022,1,1,21,0,1.3,354,4,-0.2,157,69.06,89.71000000000001,1,0.7000000000000001,181
2022,1,1,22,0,1.4000000000000001,292,0,0,292,72.37,90.08,0.9,0.7000000000000001,170
2022,1,1,23,0,0.8,188,0,-0.4,188,77.94,91.66,0.8,0.4,156
2022,1,2,0,0,-1,62,7,-2.2,35,85.21000000000001,91.64,0.8,0.4,146
2022,1,2,1,0,-2.2,0,7,-3.3000000000000003,0,94.09,92.04,0.8,0.5,135
2022,1,2,2,0,-2.6,0,8,-3.7,0,103.71000000000001,92.24,0.8,0.5,127
2022,1,2,3,0,-2.6,0,6,-3.7,0,113.92,92.03,0.8,0.7000000000000001,125
2022,1,2,4,0,-2.4000000000000004,0,7,-3.6,0,124.41,91.28,0.8,0.8,131
2022,1,2,5,0,-2.5,0,7,-3.8000000000000003,0,134.85,91.11,0.8,0.7000000000000001,134
2022,1,2,6,0,-2.4000000000000004,0,7,-3.7,0,144.71,91.10000000000001,0.8,0.7000000000000001,134
2022,1,2,7,0,-2,0,7,-3.4000000000000004,0,152.93,90.32000000000001,0.9,0.8,137
2022,1,2,8,0,-1.7000000000000002,0,8,-3.2,0,157.36,89.39,0.9,0.7000000000000001,140
2022,1,2,9,0,-1.5,0,6,-3.1,0,155.70000000000002,88.9,1,0.5,155
2022,1,2,10,0,-1.3,0,7,-3,0,148.94,88.36,1,0.5,157
2022,1,2,11,0,-1.1,0,7,-2.9000000000000004,0,139.68,87.68,1.1,0.5,155
2022,1,2,12,0,-0.8,0,6,-2.6,0,129.43,87.61,1.2000000000000002,0.6000000000000001,153
2022,1,2,13,0,-0.4,0,6,-2.1,0,118.91,88.3,1.3,0.7000000000000001,150
2022,1,2,14,0,0.8,0,7,-0.9,0,108.52,88.15,1.4000000000000001,1,162
2022,1,2,15,0,1.8,0,7,0.30000000000000004,0,98.57000000000001,89.73,1.5,1.2000000000000002,167
2022,1,2,16,0,1.9000000000000001,14,7,0.6000000000000001,2,88.97,91,1.5,1.4000000000000001,164
2022,1,2,17,0,2.1,122,6,0.8,39,81.2,91.36,1.5,1.5,166
2022,1,2,18,0,2.4000000000000004,240,7,1.1,151,74.72,90.92,1.4000000000000001,1.7000000000000002,171
2022,1,2,19,0,2.8000000000000003,325,4,1.3,235,70.26,89.82000000000001,1.4000000000000001,1.9000000000000001,176
2022,1,2,20,0,3,363,5,1.5,156,68.26,89.78,1.4000000000000001,1.9000000000000001,177
2022,1,2,21,0,3.3000000000000003,352,4,1.7000000000000002,46,68.95,89.37,1.3,2,176
2022,1,2,22,0,3.6,288,4,2,10,72.25,89.14,1.4000000000000001,2.1,176
2022,1,2,23,0,3.6,184,4,2,6,77.81,89.44,1.4000000000000001,2.1,175
2022,1,3,0,0,3.5,60,4,1.9000000000000001,8,85.09,89.51,1.5,2,173
2022,1,3,1,0,3.6,0,4,2,0,93.95,89.48,1.5,2.1,174
2022,1,3,2,0,3.8000000000000003,0,4,2.2,0,103.57000000000001,89.41,1.5,2.3000000000000003,177
2022,1,3,3,0,4,0,7,2.5,0,113.78,89.68,1.5,2.5,179
2022,1,3,4,0,4,0,4,2.5,0,124.27,89.98,1.5,2.3000000000000003,173
2022,1,3,5,0,4.1000000000000005,0,4,2.7,0,134.71,90.41,1.6,2.3000000000000003,174
2022,1,3,6,0,4.7,0,7,3.2,0,144.57,90.3,1.7000000000000002,2.2,181
2022,1,3,7,0,4.7,0,8,3.4000000000000004,0,152.8,91.29,1.7000000000000002,2.2,185
