Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,540005,-,-,-,45.48,-122.81,0,66,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Relative Humidity,Dew Point,Cloud Type,Wind Direction,Wind Speed,Precipitable Water,Solar Zenith Angle
2021,1,1,0,0,7.5,56,27,94.98,6.7,8,184,0.4,1.9000000000000001,85.28
2021,1,1,1,0,7.300000000000001,0,0,95.24,6.6000000000000005,8,177,0.5,2.1,94.13
2021,1,1,2,0,7.2,0,0,95.46000000000001,6.5,7,174,0.5,2.2,103.72
2021,1,1,3,0,6.9,0,0,95.85000000000001,6.300000000000001,7,173,0.5,2.3000000000000003,113.9
2021,1,1,4,0,6.9,0,0,95.56,6.2,4,173,0.6000000000000001,2.4000000000000004,124.37
2021,1,1,5,0,6.9,0,0,95.59,6.2,5,170,0.6000000000000001,2.4000000000000004,134.79
2021,1,1,6,0,6.800000000000001,0,0,95.44,6.1000000000000005,8,166,0.7000000000000001,2.4000000000000004,144.63
2021,1,1,7,0,6.800000000000001,0,0,94.95,6,8,164,0.7000000000000001,2.4000000000000004,152.84
2021,1,1,8,0,6.800000000000001,0,0,94.44,6,8,165,0.8,2.4000000000000004,157.29
2021,1,1,9,0,6.9,0,0,93.86,6,8,169,1,2.3000000000000003,155.69
2021,1,1,10,0,7.1000000000000005,0,0,93.35000000000001,6.1000000000000005,4,171,1,2.3000000000000003,148.99
2021,1,1,11,0,7.300000000000001,0,0,93.24,6.300000000000001,8,177,0.9,2.2,139.76
2021,1,1,12,0,7.4,0,0,93.27,6.4,8,175,0.9,2,129.54
2021,1,1,13,0,7.5,0,0,93.26,6.5,6,171,0.7000000000000001,1.8,119.04
2021,1,1,14,0,7.6000000000000005,0,0,93.49,6.6000000000000005,7,171,0.6000000000000001,1.8,108.67
2021,1,1,15,0,7.800000000000001,0,0,93.48,6.800000000000001,6,172,0.6000000000000001,1.8,98.74000000000001
2021,1,1,16,0,8.1,0,0,93.3,7.1000000000000005,6,173,0.6000000000000001,1.8,89.14
2021,1,1,17,0,8.5,117,31,92.51,7.4,6,177,0.7000000000000001,1.9000000000000001,81.4
2021,1,1,18,0,9,232,8,91.53,7.7,5,178,0.9,1.9000000000000001,74.93
2021,1,1,19,0,9.5,314,16,90.35000000000001,8,4,174,1.1,1.9000000000000001,70.47
2021,1,1,20,0,9.8,350,73,89.36,8.1,7,170,1.2000000000000002,2,68.45
2021,1,1,21,0,9.700000000000001,335,5,89.24,8,8,169,1.3,2,69.12
2021,1,1,22,0,9.4,274,25,89.27,7.7,6,181,1.5,2,72.39
2021,1,1,23,0,8.9,174,4,91.43,7.6000000000000005,6,193,1.4000000000000001,2,77.91
2021,1,2,0,0,8.4,56,10,92.81,7.300000000000001,6,195,1.2000000000000002,1.8,85.16
2021,1,2,1,0,8.1,0,0,93.72,7.1000000000000005,6,196,1.1,1.7000000000000002,93.99
2021,1,2,2,0,7.9,0,0,94.2,7,6,197,1,1.6,103.58
2021,1,2,3,0,7.5,0,0,95.10000000000001,6.800000000000001,8,191,0.7000000000000001,1.6,113.76
2021,1,2,4,0,7.4,0,0,95.08,6.7,5,185,0.8,1.5,124.23
2021,1,2,5,0,7.300000000000001,0,0,95.09,6.6000000000000005,4,183,0.9,1.5,134.65
2021,1,2,6,0,7.1000000000000005,0,0,95.58,6.4,4,184,0.9,1.5,144.49
2021,1,2,7,0,7,0,0,95.49,6.300000000000001,5,183,1,1.5,152.71
2021,1,2,8,0,7,0,0,95.36,6.300000000000001,4,184,1,1.5,157.19
2021,1,2,9,0,7.2,0,0,95.4,6.5,4,184,1.1,1.6,155.64000000000001
2021,1,2,10,0,7.4,0,0,95.54,6.7,8,185,1.2000000000000002,1.7000000000000002,148.98
2021,1,2,11,0,7.6000000000000005,0,0,95.38,6.9,5,189,1.2000000000000002,1.8,139.77
2021,1,2,12,0,7.9,0,0,94.53,7.1000000000000005,6,192,1.4000000000000001,1.9000000000000001,129.56
2021,1,2,13,0,8,0,0,94.27,7.1000000000000005,6,192,1.4000000000000001,2,119.06
2021,1,2,14,0,8,0,0,94.22,7.1000000000000005,6,191,1.4000000000000001,2,108.69
2021,1,2,15,0,8,0,0,94.61,7.2,6,191,1.5,2.1,98.75
