Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2723172,-,-,-,35.5,-97.77,0,412,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Dew Point,GHI,Cloud Type,Relative Humidity,Solar Zenith Angle,Wind Direction,Wind Speed,Precipitable Water
2023,1,1,0,0,8.3,0,3.1,0,7,69.82000000000001,96.64,209,1.4000000000000001,1.2000000000000002
2023,1,1,1,0,8.3,0,3,0,0,69.03,108.13,199,1.4000000000000001,1.2000000000000002
2023,1,1,2,0,8.4,0,3,0,0,68.81,120.06,184,1.3,1.1
2023,1,1,3,0,7.5,0,3.1,0,0,73.8,132.22,169,1.4000000000000001,1.2000000000000002
2023,1,1,4,0,6.4,0,3.4000000000000004,0,0,81.10000000000001,144.37,165,1.5,1.2000000000000002
2023,1,1,5,0,6.1000000000000005,0,3.9000000000000004,0,7,85.76,156.03,168,1.6,1.3
2023,1,1,6,0,6.1000000000000005,0,4.5,0,7,89.49,165.46,172,1.8,1.4000000000000001
2023,1,1,7,0,6.1000000000000005,0,5,0,7,92.89,166.34,173,1.9000000000000001,1.4000000000000001
2023,1,1,8,0,6.1000000000000005,0,5.300000000000001,0,7,94.8,157.63,176,2.1,1.4000000000000001
2023,1,1,9,0,6.2,0,5.5,0,7,95.03,146.12,184,2.3000000000000003,1.4000000000000001
2023,1,1,10,0,6.1000000000000005,0,5.4,0,7,95.49,134,187,2.2,1.5
2023,1,1,11,0,5.9,0,5.300000000000001,0,6,95.95,121.82000000000001,189,2.1,1.6
2023,1,1,12,0,5.9,0,5.1000000000000005,0,6,94.84,109.84,193,2.3000000000000003,1.5
