Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2723172,-,-,-,35.5,-97.77,0,412,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Dew Point,GHI,Cloud Type,Relative Humidity,Solar Zenith Angle,Wind Direction,Wind Speed,Precipitable Water
2021,1,1,0,0,-0.4,0,-4.2,0,9,75.69,96.57000000000001,24,6.800000000000001,2
2021,1,1,1,0,-0.5,0,-3.7,0,9,79.11,108.06,25,7.300000000000001,2.1
2021,1,1,2,0,-0.6000000000000001,0,-3.3000000000000003,0,9,81.66,119.99000000000001,24,7.7,2.2
2021,1,1,3,0,-0.7000000000000001,0,-3.1,0,6,84.02,132.15,22,7.7,2.3000000000000003
2021,1,1,4,0,-0.9,0,-2.9000000000000004,0,6,86.57000000000001,144.3,22,7.7,2.3000000000000003
2021,1,1,5,0,-1.1,0,-2.5,0,8,90.02,155.96,25,7.4,2.2
2021,1,1,6,0,-1.3,0,-2.3000000000000003,0,8,92.9,165.39000000000001,24,6.9,2
2021,1,1,7,0,-1.4000000000000001,0,-2.2,0,7,94.26,166.32,16,6.7,1.8
2021,1,1,8,0,-1.4000000000000001,0,-2.2,0,7,94.23,157.64000000000001,12,6.300000000000001,1.6
2021,1,1,9,0,-1.6,0,-2.4000000000000004,0,7,94.47,146.15,7,6.2,1.5
2021,1,1,10,0,-1.8,0,-2.6,0,7,94.59,134.03,4,6.2,1.5
2021,1,1,11,0,-1.9000000000000001,0,-2.7,0,4,94.22,121.85000000000001,0,6.2,1.5
2021,1,1,12,0,-2.1,0,-2.9000000000000004,0,7,94.37,109.86,358,6.300000000000001,1.4000000000000001
2021,1,1,13,0,-2.3000000000000003,0,-3.1,0,4,94.22,98.29,355,6.2,1.4000000000000001
2021,1,1,14,0,-2.2,29,-3.1,12,7,93.48,87.13,351,5.800000000000001,1.4000000000000001
2021,1,1,15,0,-1.7000000000000002,183,-2.7,10,4,93.06,77.37,349,5.800000000000001,1.4000000000000001
2021,1,1,16,0,-0.8,345,-2.1,98,7,90.83,68.94,352,6.2,1.4000000000000001
2021,1,1,17,0,0,472,-1.6,70,4,89.26,62.58,353,6.1000000000000005,1.5
2021,1,1,18,0,0.4,538,-1.3,76,7,88.15,58.99,352,5.6000000000000005,1.5
2021,1,1,19,0,0.8,549,-1.2000000000000002,20,8,86.43,58.71,354,5.1000000000000005,1.5
2021,1,1,20,0,1.2000000000000002,496,-1.2000000000000002,70,4,84.33,61.78,359,4.1000000000000005,1.4000000000000001
2021,1,1,21,0,1.4000000000000001,382,-1.1,51,4,83.31,67.73,2,3,1.4000000000000001
2021,1,1,22,0,0.9,226,-1.1,82,4,86.43,75.87,360,2,1.3
2021,1,1,23,0,-2.2,57,-3.8000000000000003,29,4,88.56,85.48,356,1.5,1.2000000000000002
2021,1,2,0,0,-3.9000000000000004,0,-5.800000000000001,0,0,86.97,96.44,353,1.6,1.2000000000000002
2021,1,2,1,0,-4.5,0,-6.4,0,0,86.39,107.92,349,1.7000000000000002,1.1
2021,1,2,2,0,-4.800000000000001,0,-6.800000000000001,0,4,85.77,119.85000000000001,343,1.8,1.1
2021,1,2,3,0,-4.9,0,-7,0,4,85.38,132.02,338,1.8,1
2021,1,2,4,0,-4.800000000000001,0,-7,0,1,84.3,144.17000000000002,338,1.9000000000000001,1
2021,1,2,5,0,-4.9,0,-7.2,0,4,84.10000000000001,155.82,339,1.9000000000000001,1
2021,1,2,6,0,-4.7,0,-7.1000000000000005,0,4,83.47,165.26,340,1.8,0.9
2021,1,2,7,0,-4.2,0,-6.5,0,4,83.75,166.28,339,1.6,0.9
2021,1,2,8,0,-3.7,0,-6,0,4,83.84,157.67000000000002,335,1.4000000000000001,0.9
2021,1,2,9,0,-3.4000000000000004,0,-5.7,0,8,84.34,146.20000000000002,332,1.4000000000000001,0.9
2021,1,2,10,0,-3,0,-5,0,7,86.04,134.08,329,1.3,1
2021,1,2,11,0,-2.1,0,-3.8000000000000003,0,7,88.29,121.9,322,1.2000000000000002,1.1
2021,1,2,12,0,-0.8,0,-2.2,0,7,89.93,109.91,313,1.3,1.2000000000000002
2021,1,2,13,0,-0.1,0,-1.3,0,6,91.51,98.32000000000001,305,1.6,1.2000000000000002
2021,1,2,14,0,0.4,33,-0.8,12,8,91.44,87.15,296,2,1.3
2021,1,2,15,0,0.7000000000000001,195,-0.5,110,7,91.84,77.38,283,2.1,1.3
2021,1,2,16,0,1,359,-0.1,230,7,92.22,68.92,266,1.9000000000000001,1.3
2021,1,2,17,0,1.5,484,0.1,484,0,90.58,62.53,256,2.1,1.3
2021,1,2,18,0,2.4000000000000004,554,0.30000000000000004,554,0,85.84,58.910000000000004,253,2,1.3
2021,1,2,19,0,3.6,562,0.4,562,0,79.34,58.61,250,2,1.2000000000000002
2021,1,2,20,0,4.6000000000000005,504,0.5,504,0,74.67,61.65,238,2,1.2000000000000002
2021,1,2,21,0,4.800000000000001,389,0.8,389,0,75.52,67.6,223,2,1.2000000000000002
2021,1,2,22,0,3.6,230,1.6,230,0,86.78,75.73,207,1.3,1.2000000000000002
2021,1,2,23,0,0.6000000000000001,60,-0.7000000000000001,60,0,91.2,85.34,195,1.4000000000000001,1.1
2021,1,3,0,0,-0.7000000000000001,0,-1.4000000000000001,0,0,94.76,96.3,187,1.6,1
2021,1,3,1,0,-1.2000000000000002,0,-1.7000000000000002,0,0,96.56,107.78,182,1.6,0.9
2021,1,3,2,0,-1.4000000000000001,0,-1.9000000000000001,0,0,96.7,119.71000000000001,176,1.8,0.8
2021,1,3,3,0,-1.4000000000000001,0,-2,0,0,95.88,131.88,172,1.9000000000000001,0.8
2021,1,3,4,0,-1.5,0,-2,0,0,96.08,144.03,169,2.1,0.8
2021,1,3,5,0,-1.7000000000000002,0,-2.1,0,0,96.87,155.68,167,2.3000000000000003,0.7000000000000001
2021,1,3,6,0,-2.3000000000000003,0,-2.4000000000000004,0,0,99.42,165.13,166,2.4000000000000004,0.7000000000000001
2021,1,3,7,0,-3,0,-3,0,0,100,166.23,166,2.4000000000000004,0.6000000000000001
2021,1,3,8,0,-3.4000000000000004,0,-3.4000000000000004,0,8,100,157.69,169,2.4000000000000004,0.6000000000000001
2021,1,3,9,0,-3.7,0,-3.7,0,8,100,146.24,178,2.3000000000000003,0.5
2021,1,3,10,0,-3.6,0,-3.7,0,7,99.15,134.13,183,2.1,0.5
2021,1,3,11,0,-3.6,0,-3.8000000000000003,0,0,98.29,121.94,188,1.5,0.6000000000000001
2021,1,3,12,0,-4,0,-4.1000000000000005,0,6,99.12,109.95,201,1,0.6000000000000001
2021,1,3,13,0,-4.1000000000000005,0,-4.3,0,0,98.60000000000001,98.35000000000001,210,0.8,0.6000000000000001
2021,1,3,14,0,-3.5,35,-3.9000000000000004,35,0,96.78,87.16,149,0.7000000000000001,0.6000000000000001
2021,1,3,15,0,-1.7000000000000002,204,-2.5,204,0,94.02,77.38,136,0.8,0.6000000000000001
2021,1,3,16,0,0.4,371,-1.5,295,8,87.37,68.9,208,0.6000000000000001,0.7000000000000001
2021,1,3,17,0,2,498,-0.7000000000000001,498,0,82.33,62.480000000000004,281,0.9,0.7000000000000001
2021,1,3,18,0,3.5,566,-0.2,566,1,76.51,58.83,291,1.2000000000000002,0.7000000000000001
2021,1,3,19,0,4.800000000000001,572,0.1,411,4,71.48,58.5,293,1.3,0.7000000000000001
2021,1,3,20,0,5.5,515,0.5,515,0,70.17,61.52,301,1.6,0.7000000000000001
2021,1,3,21,0,5.800000000000001,397,0.7000000000000001,397,0,69.74,67.46000000000001,305,1.7000000000000002,0.7000000000000001
2021,1,3,22,0,4.6000000000000005,236,1.6,236,0,80.77,75.59,312,0.9,0.7000000000000001
2021,1,3,23,0,3.2,62,-0.7000000000000001,62,0,75.68,85.2,316,0.9,0.6000000000000001
2021,1,4,0,0,3.3000000000000003,0,-0.9,0,0,74.2,96.15,297,0.6000000000000001,0.6000000000000001
2021,1,4,1,0,2.4000000000000004,0,-1,0,0,77.98,107.64,254,0.8,0.6000000000000001
2021,1,4,2,0,1.2000000000000002,0,-1.4000000000000001,0,0,82.72,119.57000000000001,238,1.1,0.6000000000000001
2021,1,4,3,0,0.6000000000000001,0,-1.5,0,0,85.53,131.74,234,1.3,0.6000000000000001
2021,1,4,4,0,0.30000000000000004,0,-1.6,0,0,86.85000000000001,143.89000000000001,233,1.4000000000000001,0.6000000000000001
2021,1,4,5,0,-0.1,0,-1.8,0,0,88.39,155.53,238,1.4000000000000001,0.7000000000000001
2021,1,4,6,0,0.1,0,-1.7000000000000002,0,0,87.43,164.99,242,1.4000000000000001,0.7000000000000001
2021,1,4,7,0,1.1,0,-1.4000000000000001,0,8,83.26,166.17000000000002,241,1.2000000000000002,0.9
2021,1,4,8,0,1.7000000000000002,0,-1.2000000000000002,0,7,81.18,157.71,244,1.2000000000000002,1
2021,1,4,9,0,2,0,-1.1,0,7,80.08,146.28,252,1.2000000000000002,1.1
2021,1,4,10,0,2.4000000000000004,0,-1.2000000000000002,0,7,77.26,134.17000000000002,258,1.2000000000000002,1.1
2021,1,4,11,0,2.3000000000000003,0,-1.4000000000000001,0,7,76.58,121.99000000000001,263,1.2000000000000002,1.1
2021,1,4,12,0,1.1,0,-1.6,0,0,82.26,109.98,276,1.3,1
2021,1,4,13,0,-0.2,0,-1.6,0,0,90.21000000000001,98.38,295,1.5,0.9
2021,1,4,14,0,1.7000000000000002,34,-0.30000000000000004,34,0,86.58,87.17,308,2.5,0.9
2021,1,4,15,0,3.6,202,0.5,202,0,80.17,77.37,310,3.4000000000000004,0.9
2021,1,4,16,0,5.5,369,1.4000000000000001,369,0,75.03,68.87,305,3.1,0.9
2021,1,4,17,0,8.1,495,2.5,495,0,68.01,62.42,310,3.2,0.9
2021,1,4,18,0,10.200000000000001,563,3.2,563,0,61.84,58.74,339,4.1000000000000005,1
2021,1,4,19,0,11.200000000000001,569,4.1000000000000005,569,0,61.67,58.38,346,4,1
2021,1,4,20,0,11.700000000000001,512,5,512,0,63.49,61.39,346,3.6,1
2021,1,4,21,0,11.600000000000001,398,5.9,398,0,68.12,67.31,343,2.8000000000000003,1
2021,1,4,22,0,9.200000000000001,239,6.800000000000001,239,0,84.88,75.44,338,1.4000000000000001,0.9
2021,1,4,23,0,5.7,66,4.5,66,0,91.93,85.06,336,1.5,0.8
2021,1,5,0,0,4.7,0,3.7,0,0,92.97,96,340,1.5,0.7000000000000001
2021,1,5,1,0,4.2,0,2.6,0,0,89.61,107.49000000000001,345,1.5,0.7000000000000001
2021,1,5,2,0,3.9000000000000004,0,1.5,0,0,84.22,119.43,350,1.5,0.6000000000000001
2021,1,5,3,0,3.9000000000000004,0,0.30000000000000004,0,0,77.60000000000001,131.59,356,1.5,0.6000000000000001
2021,1,5,4,0,4.3,0,-0.6000000000000001,0,0,70.55,143.74,3,1.3,0.6000000000000001
2021,1,5,5,0,4.800000000000001,0,-1.2000000000000002,0,0,65.07000000000001,155.39000000000001,13,0.9,0.6000000000000001
2021,1,5,6,0,4.9,0,-1.6,0,0,63,164.84,35,0.6000000000000001,0.6000000000000001
2021,1,5,7,0,4.4,0,-1.7000000000000002,0,0,64.62,166.1,85,0.5,0.6000000000000001
2021,1,5,8,0,3.4000000000000004,0,-1.7000000000000002,0,0,69.02,157.72,131,0.7000000000000001,0.7000000000000001
2021,1,5,9,0,2.2,0,-1.7000000000000002,0,0,75.17,146.31,146,0.9,0.7000000000000001
2021,1,5,10,0,1.3,0,-1.7000000000000002,0,0,80.56,134.21,157,1.1,0.8
