Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2286689,-,-,-,33.16,-101.79,0,939,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Dew Point,Cloud Type,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction,Solar Zenith Angle
2021,1,1,0,0,0.9,0,0,-8,6,51.58,1.4000000000000001,4.4,348,92.58
2021,1,1,1,0,0.7000000000000001,0,0,-7.7,6,53.36,1.4000000000000001,3.8000000000000003,357,104.2
2021,1,1,2,0,0.2,0,0,-7,6,58.29,1.4000000000000001,3.8000000000000003,353,116.32000000000001
2021,1,1,3,0,0,0,0,-6.300000000000001,6,62.33,1.4000000000000001,4.2,345,128.75
2021,1,1,4,0,0,0,0,-5.5,6,66.36,1.4000000000000001,4.3,340,141.29
2021,1,1,5,0,0,0,0,-4.9,6,69.60000000000001,1.4000000000000001,4.5,336,153.65
2021,1,1,6,0,0.1,0,0,-4.6000000000000005,7,70.88,1.4000000000000001,4.9,332,164.9
2021,1,1,7,0,0.1,0,0,-4.4,7,71.97,1.4000000000000001,4.800000000000001,332,169.61
2021,1,1,8,0,0.1,0,0,-4.3,8,72.05,1.3,4.5,335,161.68
2021,1,1,9,0,-0.1,0,0,-4.800000000000001,4,70.47,1.2000000000000002,4.1000000000000005,337,149.87
2021,1,1,10,0,-0.5,0,0,-5.9,4,66.69,1.1,3.5,331,137.4
2021,1,1,11,0,-0.8,0,0,-7,4,62.96,1,3.2,321,124.87
2021,1,1,12,0,-1.1,0,0,-8,4,59.6,0.8,3.3000000000000003,327,112.52
