Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2286689,-,-,-,33.16,-101.79,0,939,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Dew Point,Cloud Type,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction,Solar Zenith Angle
2020,1,1,0,0,4,0,0,-4.7,0,53.08,0.7000000000000001,1.6,189,92.68
2020,1,1,1,0,3.4000000000000004,0,0,-4.7,0,55.51,0.7000000000000001,1.8,188,104.3
2020,1,1,2,0,2.9000000000000004,0,0,-4.4,0,58.68,0.7000000000000001,2,190,116.42
2020,1,1,3,0,2.5,0,0,-4,0,62.370000000000005,0.7000000000000001,2.3000000000000003,196,128.84
2020,1,1,4,0,2.1,0,0,-3.5,0,66.45,0.8,2.5,204,141.38
2020,1,1,5,0,1.7000000000000002,0,0,-3.1,0,70.5,0.8,2.7,212,153.75
2020,1,1,6,0,1.5,0,0,-2.8000000000000003,0,73.17,0.8,3.1,217,165
2020,1,1,7,0,1.2000000000000002,0,0,-2.6,0,75.9,0.8,3.6,222,169.66
2020,1,1,8,0,0.8,0,0,-2.4000000000000004,0,79.06,0.8,3.8000000000000003,226,161.65
2020,1,1,9,0,0.30000000000000004,0,0,-2.3000000000000003,0,82.86,0.8,3.8000000000000003,228,149.83
2020,1,1,10,0,-0.2,0,0,-2.1,0,86.92,0.8,3.5,231,137.36
2020,1,1,11,0,-0.8,0,0,-2,0,91.37,0.8,3.3000000000000003,236,124.83
2020,1,1,12,0,-1.2000000000000002,0,0,-2.1,0,93.89,0.7000000000000001,3.4000000000000004,239,112.47
2020,1,1,13,0,-1.5,0,0,-2.3000000000000003,0,94.12,0.7000000000000001,3.4000000000000004,242,100.49000000000001
2020,1,1,14,0,-0.4,17,17,-2.9000000000000004,0,83.36,0.7000000000000001,4.4,247,88.73
2020,1,1,15,0,2.4000000000000004,184,184,-3.5,0,65.11,0.6000000000000001,4.6000000000000005,250,78.47
2020,1,1,16,0,6.6000000000000005,364,364,-3.6,0,48.1,0.6000000000000001,4.5,244,69.29
2020,1,1,17,0,11.3,506,506,-4.4,0,32.910000000000004,0.6000000000000001,5.7,255,62.01
2020,1,1,18,0,14.5,590,463,-4.5,7,26.55,0.7000000000000001,6.5,252,57.42
2020,1,1,19,0,15.9,613,411,-4.4,7,24.55,0.7000000000000001,7.1000000000000005,245,56.18
2020,1,1,20,0,16.6,570,387,-4.3,7,23.650000000000002,0.7000000000000001,7.5,241,58.51
2020,1,1,21,0,16.3,465,88,-4.1000000000000005,6,24.42,0.7000000000000001,7.5,235,64.03
2020,1,1,22,0,15.100000000000001,309,139,-3.4000000000000004,6,27.86,0.7000000000000001,6.4,226,71.97
2020,1,1,23,0,12.8,125,53,-2.9000000000000004,6,33.53,0.7000000000000001,6.1000000000000005,224,81.61
2020,1,2,0,0,11.100000000000001,0,0,-2.5,6,38.47,0.7000000000000001,6.1000000000000005,225,92.54
