Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,547855,-,-,-,45.52,-122.67,0,18,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Cloud Type,Dew Point,GHI,Solar Zenith Angle,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction
2020,1,1,0,0,8,50,9,5.5,11,85.48,84.07000000000001,2.8000000000000003,2.1,189
2020,1,1,1,0,8,0,9,6,0,94.33,87.44,2.8000000000000003,2.1,200
2020,1,1,2,0,8.200000000000001,0,6,6.6000000000000005,0,103.92,89.66,2.7,2.1,202
2020,1,1,3,0,8.4,0,7,7.1000000000000005,0,114.10000000000001,91.4,2.5,2.3000000000000003,204
2020,1,1,4,0,8.9,0,8,7.7,0,124.57000000000001,92.33,2.3000000000000003,2.2,207
2020,1,1,5,0,9.600000000000001,0,4,8.4,0,134.98,92.5,2.2,1.9000000000000001,208
2020,1,1,6,0,10,0,0,9,0,144.8,93.36,2.2,1.6,215
2020,1,1,7,0,10.4,0,0,9.4,0,152.97,93.33,2.1,1.5,221
2020,1,1,8,0,10.600000000000001,0,4,9.600000000000001,0,157.34,93.75,2,1.3,223
2020,1,1,9,0,10.600000000000001,0,8,9.700000000000001,0,155.64000000000001,94,2,1.1,227
2020,1,1,10,0,10.4,0,8,9.5,0,148.89000000000001,94.01,1.8,0.9,231
2020,1,1,11,0,9.9,0,7,9,0,139.64000000000001,94.12,1.6,0.9,239
2020,1,1,12,0,9.4,0,7,8.5,0,129.42000000000002,94,1.5,0.9,242
2020,1,1,13,0,8.8,0,0,8,0,118.93,94.42,1.5,0.7000000000000001,240
2020,1,1,14,0,8.700000000000001,0,0,7.800000000000001,0,108.57000000000001,94.22,1.4000000000000001,0.7000000000000001,236
2020,1,1,15,0,8.200000000000001,0,7,7.4,0,98.66,94.52,1.4000000000000001,0.6000000000000001,238
2020,1,1,16,0,8.5,0,8,7.6000000000000005,0,89.09,94.22,1.4000000000000001,0.7000000000000001,237
2020,1,1,17,0,9.3,117,0,8.200000000000001,117,81.37,93.13,1.4000000000000001,1,240
2020,1,1,18,0,9.9,233,4,8.700000000000001,56,74.94,92.02,1.4000000000000001,1.2000000000000002,239
2020,1,1,19,0,10.3,317,0,8.8,317,70.52,90.62,1.4000000000000001,1.3,242
2020,1,1,20,0,10.4,353,1,8.8,353,68.55,89.59,1.5,1.4000000000000001,244
2020,1,1,21,0,10.3,342,0,8.700000000000001,342,69.26,90.03,1.5,1.4000000000000001,242
2020,1,1,22,0,10,280,4,8.700000000000001,68,72.56,91.55,1.5,1.2000000000000002,242
2020,1,1,23,0,9.5,177,4,8.3,97,78.10000000000001,92.24,1.4000000000000001,1.1,248
2020,1,2,0,0,8.700000000000001,55,7,7.6000000000000005,19,85.35000000000001,92.81,1.4000000000000001,0.8,253
2020,1,2,1,0,8,0,7,6.9,0,94.2,93.05,1.3,0.6000000000000001,254
2020,1,2,2,0,7.5,0,6,6.5,0,103.79,93.4,1.3,0.5,246
2020,1,2,3,0,7.1000000000000005,0,7,6.2,0,113.97,93.89,1.3,0.5,237
2020,1,2,4,0,6.800000000000001,0,6,5.9,0,124.43,93.77,1.3,0.5,235
2020,1,2,5,0,6.7,0,6,5.7,0,134.84,93.59,1.3,0.5,234
2020,1,2,6,0,6.5,0,7,5.6000000000000005,0,144.66,94.14,1.4000000000000001,0.5,232
2020,1,2,7,0,6.1000000000000005,0,8,5.300000000000001,0,152.84,94.67,1.4000000000000001,0.4,229
2020,1,2,8,0,6,0,8,5.2,0,157.24,94.51,1.5,0.4,223
2020,1,2,9,0,5.9,0,8,5.1000000000000005,0,155.6,94.8,1.5,0.4,216
2020,1,2,10,0,5.7,0,8,5,0,148.88,95.03,1.5,0.4,214
2020,1,2,11,0,5.6000000000000005,0,8,4.800000000000001,0,139.66,94.54,1.5,0.6000000000000001,209
2020,1,2,12,0,5.4,0,8,4.6000000000000005,0,129.44,94.56,1.6,0.6000000000000001,208
2020,1,2,13,0,5.300000000000001,0,7,4.4,0,118.95,94.17,1.7000000000000002,0.7000000000000001,199
2020,1,2,14,0,5.300000000000001,0,8,4.4,0,108.59,93.82000000000001,1.7000000000000002,0.7000000000000001,178
2020,1,2,15,0,5.2,0,8,4.4,0,98.67,94.3,1.8,0.7000000000000001,178
2020,1,2,16,0,5.300000000000001,0,4,4.4,0,89.08,94.13,1.9000000000000001,0.9,175
