Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2758210,-,-,-,35.22,-97.45,0,360,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,GHI,Cloud Type,Dew Point,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Speed,Wind Direction
2023,1,1,0,0,9.9,0,0,3,4.6000000000000005,69.8,96.77,1.3,1.4000000000000001,208
2023,1,1,1,0,9.600000000000001,0,0,1,4.3,69.69,108.3,1.3,1.4000000000000001,191
2023,1,1,2,0,9.600000000000001,0,0,0,4.4,70.14,120.28,1.2000000000000002,1.4000000000000001,177
2023,1,1,3,0,8.9,0,0,0,4.6000000000000005,74.59,132.48,1.2000000000000002,1.4000000000000001,168
2023,1,1,4,0,7.6000000000000005,0,0,0,5,83.35000000000001,144.68,1.3,1.5,170
2023,1,1,5,0,7,0,0,0,5.4,89.57000000000001,156.39000000000001,1.3,1.6,177
2023,1,1,6,0,6.7,0,0,7,5.800000000000001,93.86,165.83,1.4000000000000001,1.7000000000000002,183
2023,1,1,7,0,6.6000000000000005,0,0,7,6,95.84,166.47,1.5,1.8,186
2023,1,1,8,0,6.5,0,0,7,6,96.71000000000001,157.53,1.5,2.1,189
2023,1,1,9,0,6.5,0,0,7,6,96.79,145.92000000000002,1.5,2.3000000000000003,196
2023,1,1,10,0,6.5,0,0,7,6,96.3,133.74,1.5,2.3000000000000003,200
2023,1,1,11,0,6.4,0,0,6,5.800000000000001,96.19,121.52,1.6,2.2,202
2023,1,1,12,0,6.5,0,0,0,5.7,94.94,109.51,1.6,2.4000000000000004,205
2023,1,1,13,0,6.1000000000000005,0,0,8,5.7,97.09,97.92,1.5,2.3000000000000003,208
2023,1,1,14,0,7.2,39,25,7,5.7,90.39,86.77,1.4000000000000001,3.3000000000000003,213
2023,1,1,15,0,9.3,202,101,7,6,79.88,76.99,1.4000000000000001,3.4000000000000004,215
2023,1,1,16,0,12.200000000000001,361,253,7,6.5,68.19,68.57000000000001,1.4000000000000001,3.1,217
2023,1,1,17,0,15.3,481,481,1,6.800000000000001,56.79,62.230000000000004,1.4000000000000001,3.4000000000000004,229
2023,1,1,18,0,17.7,544,414,7,7.4,50.82,58.71,1.4000000000000001,3.6,234
2023,1,1,19,0,19.3,545,545,0,7.7,46.94,58.51,1.5,3.6,239
2023,1,1,20,0,19.900000000000002,488,488,0,7.800000000000001,45.71,61.68,1.5,3.3000000000000003,247
2023,1,1,21,0,19.6,375,328,7,9.4,51.7,67.73,1.5,2,250
2023,1,1,22,0,17.5,220,190,7,10.9,65.02,75.95,1.5,0.9,232
2023,1,1,23,0,15.8,54,34,7,7.7,58.410000000000004,85.63,1.5,0.9,184
2023,1,2,0,0,14.4,0,0,7,7.7,64.22,96.64,1.6,1.3,156
2023,1,2,1,0,12.8,0,0,7,8.6,75.46000000000001,108.17,1.6,1.5,151
2023,1,2,2,0,12.3,0,0,7,9.8,84.97,120.14,1.7000000000000002,1.7000000000000002,155
2023,1,2,3,0,11.9,0,0,7,11.3,95.8,132.35,1.8,1.9000000000000001,163
2023,1,2,4,0,11.5,0,0,6,11.5,100,144.54,1.8,2.2,170
2023,1,2,5,0,10.9,0,0,7,10.9,100,156.25,1.8,2.4000000000000004,173
2023,1,2,6,0,10.600000000000001,0,0,7,10.600000000000001,100,165.71,1.9000000000000001,2.5,173
2023,1,2,7,0,11.3,0,0,7,11.3,100,166.44,1.9000000000000001,3.2,180
2023,1,2,8,0,11.5,0,0,7,11.5,100,157.56,2,3,185
