Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2280292,-,-,-,33.58,-101.85,0,978,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Cloud Type,Dew Point,GHI,Solar Zenith Angle,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction
2023,1,1,0,0,11.9,0,0,2.8000000000000003,0,92.79,53.7,1.3,2.1,254
2023,1,1,1,0,11.100000000000001,0,0,2.7,0,104.35000000000001,56.03,1.2000000000000002,2.2,257
2023,1,1,2,0,10.5,0,0,2.6,0,116.42,58.08,1.2000000000000002,2.5,264
2023,1,1,3,0,9.9,0,7,2.6,0,128.79,60.28,1.1,2.7,271
2023,1,1,4,0,9.5,0,7,2.5,0,141.27,61.49,1.1,2.8000000000000003,276
2023,1,1,5,0,9.9,0,7,2.4000000000000004,0,153.56,59.51,1.1,3,280
2023,1,1,6,0,10,0,6,2.3000000000000003,0,164.66,58.64,1.2000000000000002,3.3000000000000003,282
2023,1,1,7,0,9.700000000000001,0,6,2.2,0,169.24,59.52,1.2000000000000002,3.4000000000000004,283
2023,1,1,8,0,9.5,0,6,2.2,0,161.5,60.39,1.2000000000000002,3.4000000000000004,284
2023,1,1,9,0,9.200000000000001,0,6,2.3000000000000003,0,149.81,61.85,1.1,3.1,285
2023,1,1,10,0,8.8,0,7,2.3000000000000003,0,137.41,63.6,1.1,2.9000000000000004,285
2023,1,1,11,0,8.5,0,6,2.3000000000000003,0,124.94,64.9,1,2.8000000000000003,285
2023,1,1,12,0,8.3,0,6,2.3000000000000003,0,112.63,65.75,0.9,2.6,284
2023,1,1,13,0,8,0,6,2.3000000000000003,0,100.69,67.16,0.9,2.4000000000000004,280
2023,1,1,14,0,9.1,15,7,2.4000000000000004,4,88.97,63.03,1,2.7,274
2023,1,1,15,0,11,175,7,2.7,37,78.77,56.620000000000005,1,3.7,269
2023,1,1,16,0,12.8,349,7,3.1,257,69.63,51.660000000000004,1.1,3.3000000000000003,262
2023,1,1,17,0,15.3,486,8,3.7,332,62.4,45.99,1.2000000000000002,2.9000000000000004,249
2023,1,1,18,0,18.900000000000002,569,7,3.7,410,57.82,36.63,1.3,4,252
2023,1,1,19,0,20.900000000000002,591,6,3.2,178,56.58,31.16,1.3,4.3,243
2023,1,1,20,0,21.400000000000002,552,7,2.6,313,58.870000000000005,28.900000000000002,1.2000000000000002,4.4,234
2023,1,1,21,0,21.1,449,7,2.5,350,64.32000000000001,29.25,1.2000000000000002,3.8000000000000003,230
2023,1,1,22,0,18.7,298,6,4.4,141,72.2,38.86,1.2000000000000002,2,224
2023,1,1,23,0,14.8,118,7,3.6,63,81.77,47.050000000000004,1.2000000000000002,1.7000000000000002,218
2023,1,2,0,0,13,0,7,2.9000000000000004,0,92.65,50.34,1.3,1.9000000000000001,213
2023,1,2,1,0,12.600000000000001,0,7,3,0,104.22,52.01,1.3,1.9000000000000001,210
2023,1,2,2,0,12.100000000000001,0,7,3.2,0,116.29,54.52,1.4000000000000001,1.9000000000000001,206
2023,1,2,3,0,11.600000000000001,0,7,3.5,0,128.66,57.68,1.4000000000000001,1.9000000000000001,202
2023,1,2,4,0,11.200000000000001,0,6,4,0,141.14000000000001,61.35,1.4000000000000001,2.1,195
2023,1,2,5,0,10.700000000000001,0,7,4.5,0,153.42000000000002,65.67,1.4000000000000001,2.3000000000000003,187
2023,1,2,6,0,10.100000000000001,0,7,4.9,0,164.52,70.08,1.5,2.6,184
2023,1,2,7,0,9.600000000000001,0,7,4.9,0,169.18,72.28,1.5,2.9000000000000004,186
2023,1,2,8,0,9.1,0,6,4.6000000000000005,0,161.53,73.4,1.4000000000000001,3.1,188
2023,1,2,9,0,8.4,0,6,4.4,0,149.86,76.01,1.5,3,194
2023,1,2,10,0,8.3,0,6,4.4,0,137.47,76.26,1.5,3.3000000000000003,216
2023,1,2,11,0,8.5,0,6,4.2,0,125,74.19,1.7000000000000002,3.5,241
2023,1,2,12,0,8.200000000000001,0,6,3.9000000000000004,0,112.69,74.41,1.7000000000000002,2.4000000000000004,258
2023,1,2,13,0,8.200000000000001,0,9,3.7,0,100.74000000000001,73.26,1.6,2,264
2023,1,2,14,0,9.200000000000001,0,6,3.6,0,89,68.18,1.5,2.2,264
2023,1,2,15,0,11.600000000000001,171,6,4,54,78.79,59.47,1.3,3.3000000000000003,266
2023,1,2,16,0,14.8,346,7,4.7,239,69.63,50.7,1.2000000000000002,5,270
2023,1,2,17,0,17.7,484,0,3.2,484,62.370000000000005,37.96,1.1,6.800000000000001,269
2023,1,2,18,0,18.7,569,0,2.1,569,57.76,32.94,1.1,7.7,258
2023,1,2,19,0,18.3,592,3,1.5,164,56.480000000000004,32.39,1.2000000000000002,8.4,253
2023,1,2,20,0,17.3,552,3,0.7000000000000001,354,58.75,32.72,1.2000000000000002,8.9,251
2023,1,2,21,0,16.1,455,7,-1,377,64.19,31.060000000000002,1,9,250
2023,1,2,22,0,14.8,310,8,-4.7,268,72.06,25.76,0.6000000000000001,8.8,250
2023,1,2,23,0,12.4,127,8,-7.5,77,81.63,24.310000000000002,0.5,7.5,254
2023,1,3,0,0,9.600000000000001,0,8,-7.2,0,92.51,29.8,0.5,5.4,260
2023,1,3,1,0,7.800000000000001,0,8,-6.2,0,104.08,36.51,0.5,4.1000000000000005,261
2023,1,3,2,0,6.800000000000001,0,5,-5.2,0,116.15,42,0.6000000000000001,3.8000000000000003,260
2023,1,3,3,0,6.1000000000000005,0,0,-4.7,0,128.52,45.93,0.6000000000000001,3.8000000000000003,253
2023,1,3,4,0,5.6000000000000005,0,0,-4.4,0,141,48.52,0.6000000000000001,4.1000000000000005,247
2023,1,3,5,0,5.2,0,0,-4.2,0,153.28,50.78,0.6000000000000001,4.5,245
2023,1,3,6,0,4.7,0,0,-3.9000000000000004,0,164.38,53.82,0.6000000000000001,4.800000000000001,246
2023,1,3,7,0,4.1000000000000005,0,0,-3.5,0,169.1,57.61,0.6000000000000001,4.800000000000001,251
2023,1,3,8,0,3.6,0,0,-3.3000000000000003,0,161.55,60.800000000000004,0.6000000000000001,4.7,255
2023,1,3,9,0,3.2,0,0,-3.1,0,149.91,63.21,0.6000000000000001,4.800000000000001,259
2023,1,3,10,0,2.9000000000000004,0,0,-3,0,137.53,64.94,0.6000000000000001,4.800000000000001,262
2023,1,3,11,0,2.5,0,0,-3,0,125.05,67.18,0.6000000000000001,4.6000000000000005,264
2023,1,3,12,0,2.2,0,0,-2.9000000000000004,0,112.74000000000001,69.04,0.7000000000000001,4.7,265
2023,1,3,13,0,2.6,0,7,-2.8000000000000003,0,100.78,67.6,0.7000000000000001,4.7,267
2023,1,3,14,0,3.6,0,7,-2.7,0,89.02,63.43,0.7000000000000001,4.800000000000001,265
2023,1,3,15,0,5.4,176,7,-2.5,97,78.8,56.67,0.8,4.800000000000001,264
2023,1,3,16,0,9.1,354,7,-3.2,117,69.62,41.910000000000004,0.8,6.4,277
2023,1,3,17,0,11.600000000000001,498,8,-4.6000000000000005,312,62.33,31.93,0.7000000000000001,7.2,283
2023,1,3,18,0,12.9,585,0,-5.7,585,57.69,26.85,0.7000000000000001,7.7,281
2023,1,3,19,0,13.5,610,0,-6.800000000000001,610,56.38,23.79,0.7000000000000001,8.1,282
2023,1,3,20,0,13.700000000000001,568,0,-7.6000000000000005,568,58.63,22.16,0.7000000000000001,8.200000000000001,281
2023,1,3,21,0,13.4,464,0,-7.7,464,64.05,22.31,0.7000000000000001,8,279
2023,1,3,22,0,12.700000000000001,310,0,-7.2,310,71.92,24.29,0.7000000000000001,7,278
2023,1,3,23,0,10.200000000000001,128,0,-6.1000000000000005,128,81.49,31.310000000000002,0.7000000000000001,4.5,279
2023,1,4,0,0,8,0,0,-5.2,0,92.37,38.65,0.8,3.7,284
2023,1,4,1,0,7.4,0,7,-4.800000000000001,0,103.94,41.5,0.8,3.7,288
2023,1,4,2,0,6.5,0,7,-4.4,0,116.01,45.5,0.8,3.4000000000000004,287
2023,1,4,3,0,5.7,0,5,-4.1000000000000005,0,128.39000000000001,49.22,0.8,3.2,282
2023,1,4,4,0,5.2,0,1,-3.8000000000000003,0,140.87,52.08,0.8,3.5,276
2023,1,4,5,0,4.7,0,0,-3.5,0,153.14000000000001,55.45,0.8,3.9000000000000004,273
2023,1,4,6,0,4.2,0,0,-3.1,0,164.24,58.95,0.7000000000000001,4.4,273
2023,1,4,7,0,3.8000000000000003,0,0,-3,0,169.02,61.15,0.7000000000000001,4.6000000000000005,273
2023,1,4,8,0,4,0,0,-3.2,0,161.57,59.64,0.6000000000000001,5.300000000000001,276
2023,1,4,9,0,4.3,0,0,-3.3000000000000003,0,149.96,57.63,0.6000000000000001,6,279
2023,1,4,10,0,4.2,0,0,-3.2,0,137.58,58.68,0.5,6.300000000000001,283
2023,1,4,11,0,3.9000000000000004,0,0,-2.9000000000000004,0,125.10000000000001,61.07,0.5,6.2,288
2023,1,4,12,0,3.2,0,0,-2.8000000000000003,0,112.78,64.63,0.5,5.6000000000000005,288
2023,1,4,13,0,2.6,0,0,-2.9000000000000004,0,100.81,67.19,0.5,5,287
2023,1,4,14,0,3,0,0,-2.8000000000000003,0,89.04,65.46000000000001,0.5,5,284
2023,1,4,15,0,5.5,180,1,-2.8000000000000003,180,78.8,55,0.5,5.5,282
2023,1,4,16,0,9.200000000000001,362,0,-4.800000000000001,362,69.60000000000001,36.81,0.5,7.2,297
2023,1,4,17,0,11.4,505,0,-7.4,505,62.28,26.03,0.5,7,301
2023,1,4,18,0,12.700000000000001,599,0,-9.1,599,57.61,20.93,0.4,6.4,296
2023,1,4,19,0,13.600000000000001,622,3,-10.200000000000001,524,56.28,18.16,0.4,6.5,288
2023,1,4,20,0,13.9,576,0,-10.700000000000001,576,58.5,17.11,0.5,7,286
2023,1,4,21,0,13.8,473,0,-10.600000000000001,473,63.910000000000004,17.32,0.5,6.9,287
2023,1,4,22,0,13,318,0,-9.9,318,71.78,19.27,0.5,5.800000000000001,289
2023,1,4,23,0,9.1,133,0,-7.800000000000001,133,81.34,29.59,0.5,2.9000000000000004,288
2023,1,5,0,0,6.4,0,0,-7.300000000000001,0,92.22,36.95,0.5,2.3000000000000003,291
2023,1,5,1,0,5.7,0,0,-7.6000000000000005,0,103.79,37.83,0.5,2.5,297
2023,1,5,2,0,5,0,0,-8,0,115.87,38.62,0.5,2.8000000000000003,304
2023,1,5,3,0,4,0,0,-8,0,128.25,41.18,0.5,2.7,308
2023,1,5,4,0,2.8000000000000003,0,0,-7.9,0,140.73,45.43,0.5,2.5,314
2023,1,5,5,0,1.6,0,0,-7.6000000000000005,0,153,50.480000000000004,0.5,2.4000000000000004,321
2023,1,5,6,0,0.5,0,0,-7.4,0,164.09,55.550000000000004,0.5,2.3000000000000003,327
2023,1,5,7,0,-0.5,0,0,-7.2,0,168.93,60.58,0.5,2,331
2023,1,5,8,0,-1.3,0,0,-7,0,161.58,65,0.5,1.9000000000000001,329
2023,1,5,9,0,-1.9000000000000001,0,0,-7,0,150,68.22,0.5,1.8,328
2023,1,5,10,0,-2.4000000000000004,0,0,-7,0,137.62,70.69,0.5,1.7000000000000002,330
2023,1,5,11,0,-2.8000000000000003,0,0,-7.1000000000000005,0,125.15,72.51,0.6000000000000001,1.6,334
2023,1,5,12,0,-3.1,0,0,-7.1000000000000005,0,112.82000000000001,73.93,0.7000000000000001,1.4000000000000001,335
