Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,543358,-,-,-,45.38,-122.75,0,54,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Cloud Type,GHI,Dew Point,Solar Zenith Angle,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction
2020,1,1,0,0,8.1,52,9,8,5.800000000000001,85.35000000000001,85.21000000000001,2.8000000000000003,2,189
2020,1,1,1,0,8.1,0,9,0,6.300000000000001,94.21000000000001,88.13,2.8000000000000003,1.9000000000000001,200
2020,1,1,2,0,8.200000000000001,0,6,0,6.800000000000001,103.82000000000001,90.77,2.7,1.9000000000000001,202
2020,1,1,3,0,8.5,0,7,0,7.2,114.03,91.82000000000001,2.5,2.1,204
2020,1,1,4,0,9,0,4,0,8,124.52,93.29,2.3000000000000003,2.1,207
2020,1,1,5,0,9.600000000000001,0,4,0,8.6,134.95,93.48,2.2,1.8,208
2020,1,1,6,0,10,0,0,0,9.1,144.81,93.89,2.2,1.5,215
2020,1,1,7,0,10.4,0,0,0,9.4,153.04,93.75,2.1,1.4000000000000001,221
2020,1,1,8,0,10.600000000000001,0,4,0,9.700000000000001,157.47,94.04,2,1.3,223
2020,1,1,9,0,10.600000000000001,0,8,0,9.700000000000001,155.79,94.19,2,1.1,227
2020,1,1,10,0,10.3,0,7,0,9.5,149.02,94.51,1.8,0.9,231
2020,1,1,11,0,9.8,0,4,0,9,139.74,94.74,1.6,0.9,239
2020,1,1,12,0,9.3,0,7,0,8.5,129.49,94.57000000000001,1.5,0.8,242
2020,1,1,13,0,8.8,0,0,0,8,118.97,94.86,1.5,0.7000000000000001,240
2020,1,1,14,0,8.700000000000001,0,0,0,7.9,108.59,94.56,1.4000000000000001,0.6000000000000001,236
2020,1,1,15,0,8.200000000000001,0,0,0,7.5,98.65,95.10000000000001,1.4000000000000001,0.6000000000000001,238
2020,1,1,16,0,8.6,0,7,0,7.7,89.06,94.33,1.4000000000000001,0.6000000000000001,237
2020,1,1,17,0,9.3,118,0,118,8.3,81.31,93.68,1.4000000000000001,1,240
2020,1,1,18,0,9.9,236,3,100,8.700000000000001,74.85000000000001,92.25,1.4000000000000001,1.1,239
2020,1,1,19,0,10.3,320,4,79,8.8,70.4,90.71000000000001,1.4000000000000001,1.3,242
2020,1,1,20,0,10.3,356,0,356,8.8,68.41,90.12,1.5,1.3,244
2020,1,1,21,0,10.200000000000001,345,0,345,8.700000000000001,69.11,90.53,1.5,1.3,242
2020,1,1,22,0,9.9,284,4,36,8.6,72.41,91.79,1.4000000000000001,1.1,242
2020,1,1,23,0,9.4,180,7,118,8.200000000000001,77.96000000000001,92,1.4000000000000001,1,248
2020,1,2,0,0,8.5,57,7,18,7.5,85.22,93.24,1.4000000000000001,0.8,253
2020,1,2,1,0,7.9,0,7,0,6.9,94.08,93.36,1.3,0.6000000000000001,254
2020,1,2,2,0,7.4,0,7,0,6.4,103.69,93.57000000000001,1.3,0.5,246
2020,1,2,3,0,7,0,7,0,6.1000000000000005,113.89,94.24,1.3,0.5,237
2020,1,2,4,0,6.7,0,6,0,5.800000000000001,124.38000000000001,94.10000000000001,1.3,0.5,235
2020,1,2,5,0,6.5,0,8,0,5.7,134.82,94.47,1.4000000000000001,0.5,234
2020,1,2,6,0,6.4,0,7,0,5.5,144.68,94.10000000000001,1.4000000000000001,0.5,232
2020,1,2,7,0,6,0,8,0,5.2,152.91,94.76,1.4000000000000001,0.4,229
2020,1,2,8,0,5.800000000000001,0,8,0,5.1000000000000005,157.37,95.21000000000001,1.5,0.4,223
2020,1,2,9,0,5.7,0,8,0,5,155.75,95.32000000000001,1.5,0.4,216
2020,1,2,10,0,5.5,0,8,0,4.800000000000001,149.01,95.18,1.5,0.4,214
2020,1,2,11,0,5.4,0,7,0,4.6000000000000005,139.76,94.75,1.6,0.6000000000000001,209
2020,1,2,12,0,5.300000000000001,0,7,0,4.5,129.52,94.76,1.6,0.6000000000000001,208
2020,1,2,13,0,5.300000000000001,0,8,0,4.5,119,94.25,1.7000000000000002,0.6000000000000001,199
2020,1,2,14,0,5.2,0,7,0,4.4,108.61,94.47,1.8,0.7000000000000001,178
2020,1,2,15,0,5.2,0,8,0,4.4,98.67,94.33,1.8,0.7000000000000001,178
2020,1,2,16,0,5.300000000000001,0,4,0,4.5,89.05,94.47,1.9000000000000001,0.8,175
2020,1,2,17,0,5.800000000000001,113,7,29,5,81.29,94.41,1.9000000000000001,0.9,177
2020,1,2,18,0,6.5,227,4,54,5.6000000000000005,74.81,93.92,1.9000000000000001,1,177
2020,1,2,19,0,7.2,311,4,63,6.1000000000000005,70.34,92.47,1.9000000000000001,1.2000000000000002,178
2020,1,2,20,0,7.5,352,4,27,6.300000000000001,68.33,92.13,1.7000000000000002,1.3,180
