Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2301573,-,-,-,33.44,-101.65,0,942,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Dew Point,Cloud Type,GHI,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Speed,Wind Direction
2020,1,1,0,0,3.7,0,-5.300000000000001,0,0,51.92,92.91,0.7000000000000001,1.7000000000000002,197
2020,1,1,1,0,3,0,-5.300000000000001,0,0,54.38,104.5,0.7000000000000001,1.8,197
2020,1,1,2,0,2.5,0,-5.1000000000000005,0,0,57.15,116.59,0.7000000000000001,2,199
2020,1,1,3,0,2.2,0,-4.7,0,0,60.13,128.98,0.7000000000000001,2.3000000000000003,205
2020,1,1,4,0,1.9000000000000001,0,-4.2,0,0,63.85,141.48,0.7000000000000001,2.6,212
2020,1,1,5,0,1.6,0,-3.7,0,0,67.72,153.79,0.8,2.8000000000000003,219
2020,1,1,6,0,1.5,0,-3.3000000000000003,0,0,70.42,164.91,0.8,3.2,222
2020,1,1,7,0,1.2000000000000002,0,-2.9000000000000004,0,0,73.96000000000001,169.36,0.8,3.7,226
2020,1,1,8,0,0.8,0,-2.7,0,0,77.55,161.42000000000002,0.8,3.9000000000000004,230
2020,1,1,9,0,0.30000000000000004,0,-2.5,0,0,81.44,149.66,0.8,3.9000000000000004,233
2020,1,1,10,0,-0.30000000000000004,0,-2.4000000000000004,0,0,85.96000000000001,137.23,0.8,3.8000000000000003,236
2020,1,1,11,0,-0.8,0,-2.3000000000000003,0,0,89.39,124.74000000000001,0.8,3.7,239
