Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2301573,-,-,-,33.44,-101.65,0,942,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Temperature,Clearsky GHI,Dew Point,Cloud Type,GHI,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Speed,Wind Direction
2023,1,1,0,0,12.100000000000001,0,3,0,0,53.620000000000005,92.88,1.3,2.1,254
2023,1,1,1,0,11.4,0,2.8000000000000003,0,0,55.660000000000004,104.47,1.3,2.2,257
2023,1,1,2,0,10.8,0,2.8000000000000003,0,0,57.9,116.56,1.2000000000000002,2.5,264
2023,1,1,3,0,10.200000000000001,0,2.9000000000000004,7,0,60.34,128.95,1.2000000000000002,2.7,271
2023,1,1,4,0,9.600000000000001,0,2.8000000000000003,7,0,62.64,141.45000000000002,1.1,2.8000000000000003,276
2023,1,1,5,0,9.8,0,2.8000000000000003,7,0,61.65,153.76,1.2000000000000002,3,280
2023,1,1,6,0,9.9,0,2.7,6,0,60.81,164.88,1.2000000000000002,3.3000000000000003,282
2023,1,1,7,0,9.600000000000001,0,2.6,6,0,61.52,169.34,1.2000000000000002,3.3000000000000003,283
2023,1,1,8,0,9.3,0,2.5,7,0,62.43,161.42000000000002,1.2000000000000002,3.4000000000000004,284
2023,1,1,9,0,9.1,0,2.5,7,0,63.22,149.67000000000002,1.1,3.1,285
2023,1,1,10,0,8.8,0,2.5,6,0,64.47,137.25,1.1,2.9000000000000004,285
2023,1,1,11,0,8.5,0,2.5,6,0,65.8,124.76,1,2.8000000000000003,285
2023,1,1,12,0,8.3,0,2.5,6,0,66.71000000000001,112.44,1,2.6,284
2023,1,1,13,0,8.1,0,2.5,6,0,67.7,100.48,1,2.4000000000000004,280
2023,1,1,14,0,9.200000000000001,17,2.6,7,6,63.49,88.78,1,2.8000000000000003,274
2023,1,1,15,0,11.100000000000001,179,2.9000000000000004,7,121,57.02,78.55,1,3.7,269
2023,1,1,16,0,13,353,3.3000000000000003,7,240,51.81,69.42,1.1,3.3000000000000003,262
2023,1,1,17,0,15.700000000000001,489,4,7,387,45.59,62.190000000000005,1.2000000000000002,2.9000000000000004,249
2023,1,1,18,0,19.5,572,3.9000000000000004,7,440,35.69,57.65,1.3,4,252
2023,1,1,19,0,21.5,594,3.3000000000000003,7,524,30.310000000000002,56.44,1.3,4.3,243
2023,1,1,20,0,22.1,551,2.8000000000000003,6,267,28.080000000000002,58.79,1.3,4.4,234
2023,1,1,21,0,21.8,450,2.7,7,244,28.45,64.29,1.2000000000000002,3.9000000000000004,230
2023,1,1,22,0,19.3,297,4.7,7,33,38.18,72.22,1.2000000000000002,2,224
2023,1,1,23,0,15.200000000000001,117,4.1000000000000005,7,61,47.47,81.83,1.3,1.7000000000000002,218
2023,1,2,0,0,13.4,0,3.4000000000000004,8,0,50.88,92.74,1.3,1.9000000000000001,213
2023,1,2,1,0,12.9,0,3.5,7,0,52.9,104.33,1.3,1.9000000000000001,210
