Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2751838,-,-,-,35.46,-97.51,0,369,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.1
Year,Month,Day,Hour,Minute,Clearsky GHI,Temperature,Cloud Type,Dew Point,GHI,Solar Zenith Angle,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction
2023,1,1,0,0,0,8.8,8,3.4000000000000004,0,96.82000000000001,68.68,1.2000000000000002,1.4000000000000001,209
2023,1,1,1,0,0,8.9,0,3.2,0,108.32000000000001,67.23,1.2000000000000002,1.4000000000000001,199
2023,1,1,2,0,0,9.200000000000001,0,3.2,0,120.26,65.99,1.1,1.3,184
2023,1,1,3,0,0,8.4,0,3.3000000000000003,0,132.43,70.15,1.1,1.4000000000000001,169
2023,1,1,4,0,0,7,0,3.6,0,144.59,78.74,1.2000000000000002,1.5,165
2023,1,1,5,0,0,6.5,0,4.1000000000000005,0,156.24,84.8,1.2000000000000002,1.6,168
2023,1,1,6,0,0,6.4,7,4.9,0,165.6,89.82000000000001,1.4000000000000001,1.8,172
2023,1,1,7,0,0,6.5,7,5.4,0,166.28,92.87,1.4000000000000001,1.9000000000000001,173
2023,1,1,8,0,0,6.5,7,5.7,0,157.46,94.55,1.5,2.2,176
2023,1,1,9,0,0,6.6000000000000005,7,5.800000000000001,0,145.92000000000002,94.66,1.5,2.4000000000000004,184
2023,1,1,10,0,0,6.5,7,5.7,0,133.79,94.88,1.5,2.4000000000000004,187
2023,1,1,11,0,0,6.300000000000001,7,5.6000000000000005,0,121.60000000000001,95.03,1.6,2.3000000000000003,189
2023,1,1,12,0,0,6.2,6,5.4,0,109.62,94.82000000000001,1.6,2.5,193
2023,1,1,13,0,0,5.7,7,5.300000000000001,0,98.06,97.36,1.5,2.4000000000000004,200
2023,1,1,14,0,37,6.6000000000000005,7,5.2,23,86.93,91.07000000000001,1.4000000000000001,3.2,211
2023,1,1,15,0,198,8.700000000000001,7,5.300000000000001,107,77.18,78.97,1.4000000000000001,3.2,219
2023,1,1,16,0,357,11.700000000000001,7,5.6000000000000005,161,68.79,66.1,1.4000000000000001,2.9000000000000004,223
2023,1,1,17,0,477,14.9,8,5.800000000000001,351,62.47,54.49,1.4000000000000001,3.1,236
2023,1,1,18,0,541,17.400000000000002,8,6.300000000000001,414,58.95,48.050000000000004,1.4000000000000001,3.4000000000000004,244
2023,1,1,19,0,544,19,8,6.5,488,58.75,44.24,1.4000000000000001,3.5,255
2023,1,1,20,0,485,19.700000000000003,7,6.6000000000000005,366,61.88,42.64,1.5,3.3000000000000003,268
2023,1,1,21,0,373,19.3,0,7.9,373,67.89,47.79,1.5,2,281
2023,1,1,22,0,218,17.1,7,9.5,151,76.07000000000001,60.9,1.4000000000000001,0.8,308
2023,1,1,23,0,53,15.600000000000001,7,6.1000000000000005,30,85.71000000000001,53.34,1.4000000000000001,0.7000000000000001,3
2023,1,2,0,0,0,14.3,7,6,0,96.69,57.410000000000004,1.4000000000000001,1,62
2023,1,2,1,0,0,12.8,7,6.300000000000001,0,108.19,64.72,1.5,1.3,83
2023,1,2,2,0,0,12.100000000000001,7,7,0,120.13,71.08,1.5,1.3,102
2023,1,2,3,0,0,11.3,7,8.4,0,132.3,82.28,1.6,1.4000000000000001,130
2023,1,2,4,0,0,10.8,6,10.4,0,144.45000000000002,97.39,1.8,1.6,154
2023,1,2,5,0,0,10.3,7,10.3,0,156.1,100,1.9000000000000001,1.9000000000000001,164
2023,1,2,6,0,0,9.700000000000001,6,9.700000000000001,0,165.48,100,1.9000000000000001,2,173
2023,1,2,7,0,0,10.3,7,10.3,0,166.24,100,1.9000000000000001,2.5,182
2023,1,2,8,0,0,10.5,7,10.5,0,157.49,100,2,2.5,187
2023,1,2,9,0,0,10.4,7,10.4,0,145.97,100,2,2.2,187
2023,1,2,10,0,0,10.200000000000001,7,10.200000000000001,0,133.85,100,2,2,183
2023,1,2,11,0,0,10.200000000000001,7,10.200000000000001,0,121.66,100,2.1,2.1,175
2023,1,2,12,0,0,10.9,7,10.9,0,109.67,100,2.1,2.8000000000000003,169
2023,1,2,13,0,0,11.8,3,11.8,0,98.09,100,2.3000000000000003,3.6,164
2023,1,2,14,0,27,13.4,1,13.4,27,86.96000000000001,100,2.6,4.5,156
2023,1,2,15,0,170,15.100000000000001,8,14.3,60,77.19,94.93,2.7,4.800000000000001,154
2023,1,2,16,0,317,16.7,7,15.200000000000001,156,68.77,90.84,2.9000000000000004,4.5,159
2023,1,2,17,0,429,18.400000000000002,5,16.2,273,62.43,86.99,3,5.5,169
