Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2751838,-,-,-,35.46,-97.51,0,369,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,4.0.0
Year,Month,Day,Hour,Minute,Clearsky GHI,Temperature,Cloud Type,Dew Point,GHI,Solar Zenith Angle,Relative Humidity,Precipitable Water,Wind Speed,Wind Direction
2021,1,1,0,0,0,-0.2,9,-3.6,0,96.75,77.76,2.2,6.9,24
2021,1,1,1,0,0,-0.30000000000000004,9,-3,0,108.25,81.82000000000001,2.3000000000000003,7.4,25
2021,1,1,2,0,0,-0.30000000000000004,9,-2.8000000000000003,0,120.19,83.45,2.3000000000000003,7.7,24
2021,1,1,3,0,0,-0.6000000000000001,6,-2.6,0,132.36,86.51,2.4000000000000004,7.7,22
2021,1,1,4,0,0,-0.7000000000000001,9,-2.4000000000000004,0,144.52,88.48,2.3000000000000003,7.6000000000000005,22
2021,1,1,5,0,0,-1,7,-2.1,0,156.17000000000002,92.02,2.2,7.2,25
2021,1,1,6,0,0,-1.1,7,-2,0,165.54,93.62,2.1,6.800000000000001,24
2021,1,1,7,0,0,-1.1,6,-1.9000000000000001,0,166.26,94.19,1.9000000000000001,6.6000000000000005,16
2021,1,1,8,0,0,-1.2000000000000002,6,-1.9000000000000001,0,157.48,94.73,1.6,6,12
2021,1,1,9,0,0,-1.4000000000000001,7,-2.1,0,145.95000000000002,94.93,1.5,5.9,7
2021,1,1,10,0,0,-1.5,8,-2.3000000000000003,0,133.82,94.61,1.5,5.9,4
2021,1,1,11,0,0,-1.6,7,-2.4000000000000004,0,121.63,94.29,1.5,5.9,0
2021,1,1,12,0,0,-1.8,8,-2.6,0,109.65,94.03,1.4000000000000001,6.2,358
2021,1,1,13,0,0,-2.1,5,-2.9000000000000004,0,98.08,94.31,1.4000000000000001,6.1000000000000005,355
2021,1,1,14,0,31,-2,4,-2.9000000000000004,12,86.93,93.61,1.4000000000000001,5.7,351
2021,1,1,15,0,184,-1.5,4,-2.5,23,77.19,93.09,1.4000000000000001,5.7,349
2021,1,1,16,0,345,-0.7000000000000001,8,-1.9000000000000001,125,68.78,91.31,1.4000000000000001,6.1000000000000005,352
2021,1,1,17,0,472,0,4,-1.4000000000000001,99,62.45,90.18,1.4000000000000001,6,353
2021,1,1,18,0,536,0.30000000000000004,7,-1.2000000000000002,115,58.92,89.98,1.5,5.4,352
2021,1,1,19,0,547,0.7000000000000001,4,-0.9,164,58.69,88.83,1.5,4.9,354
2021,1,1,20,0,492,1.1,4,-0.7000000000000001,112,61.82,87.74,1.5,4,359
2021,1,1,21,0,379,1.3,4,-0.6000000000000001,64,67.82000000000001,87.05,1.4000000000000001,2.9000000000000004,2
2021,1,1,22,0,222,0.9,0,-0.8,222,76,88.44,1.3,2,360
2021,1,1,23,0,54,-2,0,-3.6,54,85.63,88.68,1.3,1.5,356
2021,1,2,0,0,0,-3.9000000000000004,1,-5.800000000000001,0,96.62,86.94,1.2000000000000002,1.6,353
2021,1,2,1,0,0,-4.6000000000000005,1,-6.6000000000000005,0,108.12,86.14,1.2000000000000002,1.7000000000000002,349
2021,1,2,2,0,0,-4.9,1,-7,0,120.06,85.07000000000001,1.1,1.8,343
2021,1,2,3,0,0,-5.1000000000000005,4,-7.300000000000001,0,132.23,84.47,1.1,1.9000000000000001,338
2021,1,2,4,0,0,-5.2,4,-7.5,0,144.38,84.06,1,2,338
2021,1,2,5,0,0,-5.2,4,-7.6000000000000005,0,156.03,83.08,1,1.9000000000000001,339
2021,1,2,6,0,0,-5,4,-7.4,0,165.41,83.24,1,1.8,340
2021,1,2,7,0,0,-4.3,4,-6.800000000000001,0,166.22,82.79,0.9,1.6,339
2021,1,2,8,0,0,-4,4,-6.4,0,157.5,83.69,0.9,1.5,335
2021,1,2,9,0,0,-3.8000000000000003,8,-6.1000000000000005,0,146,83.88,0.9,1.4000000000000001,332
2021,1,2,10,0,0,-3.5,8,-5.800000000000001,0,133.87,84.10000000000001,0.9,1.3,329
2021,1,2,11,0,0,-2.6,7,-4.7,0,121.68,85.26,1,1.3,322
2021,1,2,12,0,0,-0.9,7,-2.6,0,109.69,88.41,1.1,1.4000000000000001,313
2021,1,2,13,0,0,0.2,7,-1.3,0,98.11,89.35000000000001,1.2000000000000002,1.7000000000000002,305
2021,1,2,14,0,35,0.6000000000000001,8,-0.8,15,86.95,90.34,1.3,2,296
2021,1,2,15,0,198,0.8,8,-0.4,125,77.19,91.73,1.3,2,283
2021,1,2,16,0,361,1,6,0,100,68.76,92.7,1.3,1.9000000000000001,266
2021,1,2,17,0,484,1.4000000000000001,7,0.1,347,62.410000000000004,91.32000000000001,1.4000000000000001,2,256
2021,1,2,18,0,554,2.1,0,0.30000000000000004,554,58.84,87.8,1.3,2,253
2021,1,2,19,0,560,3.2,0,0.4,560,58.59,82,1.3,1.9000000000000001,250
2021,1,2,20,0,501,4.1000000000000005,0,0.6000000000000001,501,61.7,78,1.3,2,238
2021,1,2,21,0,387,4.4,0,0.9,387,67.69,78.25,1.2000000000000002,1.9000000000000001,223
2021,1,2,22,0,227,3.4000000000000004,0,1.5,227,75.86,87.47,1.2000000000000002,1.3,207
2021,1,2,23,0,57,0.5,0,-0.6000000000000001,57,85.49,92.25,1.2000000000000002,1.4000000000000001,195
2021,1,3,0,0,0,-0.7000000000000001,0,-1.4000000000000001,0,96.47,94.84,1.1,1.6,187
2021,1,3,1,0,0,-1.1,0,-1.7000000000000002,0,107.98,95.63,1,1.7000000000000002,182
2021,1,3,2,0,0,-1.4000000000000001,0,-1.9000000000000001,0,119.92,96.06,0.9,1.8,176
2021,1,3,3,0,0,-1.5,0,-2.1,0,132.09,95.71000000000001,0.8,1.9000000000000001,172
2021,1,3,4,0,0,-1.4000000000000001,0,-2.1,0,144.24,94.9,0.8,2.1,169
2021,1,3,5,0,0,-1.4000000000000001,0,-2.1,0,155.89000000000001,94.96000000000001,0.8,2.4000000000000004,167
2021,1,3,6,0,0,-1.8,0,-2.3000000000000003,0,165.28,96.48,0.7000000000000001,2.5,166
2021,1,3,7,0,0,-2.5,0,-2.7,0,166.17000000000002,98.3,0.7000000000000001,2.5,166
2021,1,3,8,0,0,-3.4000000000000004,0,-3.4000000000000004,0,157.53,100,0.6000000000000001,2.4000000000000004,169
2021,1,3,9,0,0,-4,0,-4,0,146.04,100,0.5,2.3000000000000003,178
2021,1,3,10,0,0,-3.7,7,-3.9000000000000004,0,133.92000000000002,98.36,0.5,2.3000000000000003,183
2021,1,3,11,0,0,-3.4000000000000004,7,-3.8000000000000003,0,121.73,96.76,0.5,1.6,188
2021,1,3,12,0,0,-3.8000000000000003,7,-4.1000000000000005,0,109.73,98.05,0.6000000000000001,1.1,201
2021,1,3,13,0,0,-3.8000000000000003,0,-4.1000000000000005,0,98.14,97.56,0.6000000000000001,0.6000000000000001,210
2021,1,3,14,0,37,-3.3000000000000003,0,-3.8000000000000003,37,86.97,96.21000000000001,0.6000000000000001,0.5,149
2021,1,3,15,0,205,-1.6,0,-2.5,205,77.19,93.55,0.7000000000000001,0.6000000000000001,136
2021,1,3,16,0,373,0.5,1,-1.4000000000000001,373,68.73,86.96000000000001,0.7000000000000001,0.30000000000000004,208
2021,1,3,17,0,499,2,0,-0.7000000000000001,499,62.35,82.10000000000001,0.7000000000000001,0.7000000000000001,281
2021,1,3,18,0,566,3.5,0,-0.2,566,58.76,76.47,0.7000000000000001,1,291
2021,1,3,19,0,572,4.800000000000001,0,0,572,58.480000000000004,71.32000000000001,0.7000000000000001,1.2000000000000002,293
2021,1,3,20,0,513,5.4,0,0.5,513,61.57,70.48,0.7000000000000001,1.4000000000000001,301
2021,1,3,21,0,395,5.6000000000000005,0,0.6000000000000001,395,67.55,70.12,0.7000000000000001,1.6,305
2021,1,3,22,0,232,4.5,0,1.4000000000000001,232,75.72,80.14,0.7000000000000001,1,312
2021,1,3,23,0,59,2.9000000000000004,0,-0.9,59,85.35000000000001,76.34,0.6000000000000001,1,316
2021,1,4,0,0,0,3.1,0,-1,0,96.33,74.51,0.6000000000000001,0.7000000000000001,297
2021,1,4,1,0,0,2.4000000000000004,0,-1.1,0,107.83,77.53,0.6000000000000001,0.8,254
2021,1,4,2,0,0,1.3,0,-1.5,0,119.78,81.75,0.6000000000000001,1.1,238
2021,1,4,3,0,0,0.9,0,-1.6,0,131.95,83.63,0.6000000000000001,1.3,234
2021,1,4,4,0,0,0.8,0,-1.6,0,144.1,83.97,0.6000000000000001,1.3,233
2021,1,4,5,0,0,0.2,0,-1.8,0,155.74,86.64,0.7000000000000001,1.4000000000000001,238
2021,1,4,6,0,0,0.2,0,-1.8,0,165.14000000000001,86.4,0.7000000000000001,1.4000000000000001,242
2021,1,4,7,0,0,1.2000000000000002,0,-1.5,0,166.12,82.14,0.9,1.3,241
2021,1,4,8,0,0,1.8,7,-1.3,0,157.54,80.10000000000001,1,1.2000000000000002,244
2021,1,4,9,0,0,2.2,7,-1.1,0,146.08,79.04,1.1,1.2000000000000002,252
2021,1,4,10,0,0,2.5,7,-1.2000000000000002,0,133.96,76.56,1.1,1.2000000000000002,258
2021,1,4,11,0,0,2.5,8,-1.4000000000000001,0,121.77,75.42,1.1,1.2000000000000002,263
2021,1,4,12,0,0,1.3,0,-1.6,0,109.77,81.2,1,1.3,276
